dia,mes,ano,hora,temp,hum,data
27.0,9.0,2021.0,10.0,28.083333333333332,23.766666666666666,27-9-2021 10
27.0,9.0,2021.0,11.0,29.85,17.316666666666666,27-9-2021 11
27.0,9.0,2021.0,12.0,31.433333333333334,16.033333333333335,27-9-2021 12
27.0,9.0,2021.0,13.0,33.083333333333336,14.416666666666666,27-9-2021 13
27.0,9.0,2021.0,14.0,32.7,16.35,27-9-2021 14
27.0,9.0,2021.0,15.0,31.916666666666668,16.966666666666665,27-9-2021 15
27.0,9.0,2021.0,16.0,29.616666666666667,22.75,27-9-2021 16
27.0,9.0,2021.0,17.0,27.1,33.016666666666666,27-9-2021 17
27.0,9.0,2021.0,18.0,25.433333333333334,38.85,27-9-2021 18
27.0,9.0,2021.0,19.0,24.333333333333332,36.13333333333333,27-9-2021 19
27.0,9.0,2021.0,20.0,24.0,36.71666666666667,27-9-2021 20
27.0,9.0,2021.0,21.0,23.083333333333332,37.06666666666667,27-9-2021 21
27.0,9.0,2021.0,22.0,22.783333333333335,37.93333333333333,27-9-2021 22
27.0,9.0,2021.0,23.0,22.0,39.61666666666667,27-9-2021 23
28.0,9.0,2021.0,0.0,21.483333333333334,38.68333333333333,28-9-2021 0
28.0,9.0,2021.0,1.0,21.0,38.45,28-9-2021 1
28.0,9.0,2021.0,2.0,21.0,36.93333333333333,28-9-2021 2
28.0,9.0,2021.0,3.0,20.466666666666665,38.25,28-9-2021 3
28.0,9.0,2021.0,4.0,20.0,40.416666666666664,28-9-2021 4
28.0,9.0,2021.0,5.0,19.5,42.65,28-9-2021 5
28.0,9.0,2021.0,6.0,19.733333333333334,43.733333333333334,28-9-2021 6
28.0,9.0,2021.0,7.0,21.1,40.1,28-9-2021 7
28.0,9.0,2021.0,8.0,23.6,34.13333333333333,28-9-2021 8
28.0,9.0,2021.0,9.0,26.3,27.15,28-9-2021 9
28.0,9.0,2021.0,10.0,28.783333333333335,22.766666666666666,28-9-2021 10
28.0,9.0,2021.0,11.0,30.883333333333333,18.4,28-9-2021 11
28.0,9.0,2021.0,12.0,32.4,14.2,28-9-2021 12
28.0,9.0,2021.0,13.0,33.166666666666664,11.55,28-9-2021 13
28.0,9.0,2021.0,14.0,33.43333333333333,10.383333333333333,28-9-2021 14
28.0,9.0,2021.0,15.0,32.916666666666664,11.9,28-9-2021 15
28.0,9.0,2021.0,16.0,30.316666666666666,15.266666666666667,28-9-2021 16
28.0,9.0,2021.0,17.0,28.35,16.416666666666668,28-9-2021 17
28.0,9.0,2021.0,18.0,27.2,18.683333333333334,28-9-2021 18
28.0,9.0,2021.0,19.0,26.2,19.933333333333334,28-9-2021 19
28.0,9.0,2021.0,20.0,25.883333333333333,23.883333333333333,28-9-2021 20
28.0,9.0,2021.0,21.0,25.0,19.616666666666667,28-9-2021 21
28.0,9.0,2021.0,22.0,24.416666666666668,18.933333333333334,28-9-2021 22
28.0,9.0,2021.0,23.0,24.0,21.5,28-9-2021 23
29.0,9.0,2021.0,0.0,23.633333333333333,23.6,29-9-2021 0
29.0,9.0,2021.0,1.0,23.0,25.8,29-9-2021 1
29.0,9.0,2021.0,2.0,23.0,27.566666666666666,29-9-2021 2
29.0,9.0,2021.0,3.0,22.25,28.933333333333334,29-9-2021 3
29.0,9.0,2021.0,4.0,21.45,42.3,29-9-2021 4
29.0,9.0,2021.0,5.0,21.0,54.483333333333334,29-9-2021 5
29.0,9.0,2021.0,6.0,21.0,56.63333333333333,29-9-2021 6
29.0,9.0,2021.0,7.0,21.216666666666665,54.9,29-9-2021 7
29.0,9.0,2021.0,8.0,22.45,49.88333333333333,29-9-2021 8
29.0,9.0,2021.0,9.0,24.183333333333334,44.63333333333333,29-9-2021 9
29.0,9.0,2021.0,10.0,27.066666666666666,36.25,29-9-2021 10
29.0,9.0,2021.0,11.0,29.133333333333333,31.3,29-9-2021 11
29.0,9.0,2021.0,12.0,30.45,27.083333333333332,29-9-2021 12
29.0,9.0,2021.0,13.0,31.183333333333334,25.833333333333332,29-9-2021 13
29.0,9.0,2021.0,14.0,30.183333333333334,28.333333333333332,29-9-2021 14
29.0,9.0,2021.0,15.0,28.766666666666666,32.516666666666666,29-9-2021 15
29.0,9.0,2021.0,16.0,27.333333333333332,41.15,29-9-2021 16
29.0,9.0,2021.0,17.0,25.1,45.416666666666664,29-9-2021 17
29.0,9.0,2021.0,18.0,23.483333333333334,49.233333333333334,29-9-2021 18
29.0,9.0,2021.0,19.0,22.466666666666665,56.6,29-9-2021 19
29.0,9.0,2021.0,20.0,21.85,54.81666666666667,29-9-2021 20
29.0,9.0,2021.0,21.0,21.133333333333333,51.55,29-9-2021 21
29.0,9.0,2021.0,22.0,20.983333333333334,57.333333333333336,29-9-2021 22
29.0,9.0,2021.0,23.0,20.133333333333333,58.233333333333334,29-9-2021 23
30.0,9.0,2021.0,0.0,19.733333333333334,54.55,30-9-2021 0
30.0,9.0,2021.0,1.0,19.0,52.75,30-9-2021 1
30.0,9.0,2021.0,2.0,19.0,50.016666666666666,30-9-2021 2
30.0,9.0,2021.0,3.0,19.0,54.21666666666667,30-9-2021 3
30.0,9.0,2021.0,4.0,19.0,62.61666666666667,30-9-2021 4
30.0,9.0,2021.0,5.0,19.0,60.78333333333333,30-9-2021 5
30.0,9.0,2021.0,6.0,19.0,60.13333333333333,30-9-2021 6
30.0,9.0,2021.0,7.0,19.15,57.8,30-9-2021 7
30.0,9.0,2021.0,8.0,20.916666666666668,50.416666666666664,30-9-2021 8
30.0,9.0,2021.0,9.0,24.25,39.233333333333334,30-9-2021 9
30.0,9.0,2021.0,10.0,25.783333333333335,33.983333333333334,30-9-2021 10
30.0,9.0,2021.0,11.0,27.65,29.966666666666665,30-9-2021 11
30.0,9.0,2021.0,12.0,29.15,27.333333333333332,30-9-2021 12
30.0,9.0,2021.0,13.0,30.266666666666666,25.05,30-9-2021 13
30.0,9.0,2021.0,14.0,29.9,26.7,30-9-2021 14
30.0,9.0,2021.0,15.0,28.066666666666666,32.2,30-9-2021 15
30.0,9.0,2021.0,16.0,24.766666666666666,38.43333333333333,30-9-2021 16
30.0,9.0,2021.0,17.0,23.05,42.75,30-9-2021 17
30.0,9.0,2021.0,18.0,22.05,45.56666666666667,30-9-2021 18
30.0,9.0,2021.0,19.0,21.566666666666666,48.71666666666667,30-9-2021 19
30.0,9.0,2021.0,20.0,21.0,52.6,30-9-2021 20
30.0,9.0,2021.0,21.0,20.483333333333334,54.63333333333333,30-9-2021 21
30.0,9.0,2021.0,22.0,20.0,55.916666666666664,30-9-2021 22
30.0,9.0,2021.0,23.0,19.75,57.81666666666667,30-9-2021 23
1.0,10.0,2021.0,0.0,19.15,60.4,1-10-2021 0
1.0,10.0,2021.0,1.0,19.0,63.61666666666667,1-10-2021 1
1.0,10.0,2021.0,2.0,18.483333333333334,66.53333333333333,1-10-2021 2
1.0,10.0,2021.0,3.0,18.0,69.73333333333333,1-10-2021 3
1.0,10.0,2021.0,4.0,18.0,71.51666666666667,1-10-2021 4
1.0,10.0,2021.0,5.0,18.0,72.71666666666667,1-10-2021 5
1.0,10.0,2021.0,6.0,18.516666666666666,72.86666666666666,1-10-2021 6
1.0,10.0,2021.0,7.0,19.6,65.93333333333334,1-10-2021 7
1.0,10.0,2021.0,8.0,20.816666666666666,59.5,1-10-2021 8
1.0,10.0,2021.0,9.0,23.083333333333332,50.516666666666666,1-10-2021 9
1.0,10.0,2021.0,10.0,23.766666666666666,49.266666666666666,1-10-2021 10
1.0,10.0,2021.0,11.0,21.183333333333334,58.28333333333333,1-10-2021 11
1.0,10.0,2021.0,12.0,21.166666666666668,57.733333333333334,1-10-2021 12
1.0,10.0,2021.0,13.0,21.083333333333332,69.15,1-10-2021 13
1.0,10.0,2021.0,14.0,21.15,64.63333333333334,1-10-2021 14
1.0,10.0,2021.0,15.0,20.983333333333334,68.96666666666667,1-10-2021 15
1.0,10.0,2021.0,16.0,20.05,73.81666666666666,1-10-2021 16
1.0,10.0,2021.0,17.0,20.0,76.36666666666666,1-10-2021 17
1.0,10.0,2021.0,18.0,20.0,74.23333333333333,1-10-2021 18
1.0,10.0,2021.0,19.0,19.733333333333334,70.96666666666667,1-10-2021 19
1.0,10.0,2021.0,20.0,19.033333333333335,71.95,1-10-2021 20
1.0,10.0,2021.0,21.0,19.0,71.53333333333333,1-10-2021 21
1.0,10.0,2021.0,22.0,19.0,72.1,1-10-2021 22
1.0,10.0,2021.0,23.0,19.0,73.76666666666667,1-10-2021 23
2.0,10.0,2021.0,0.0,18.466666666666665,74.58333333333333,2-10-2021 0
2.0,10.0,2021.0,1.0,18.0,73.23333333333333,2-10-2021 1
2.0,10.0,2021.0,2.0,18.0,73.65,2-10-2021 2
2.0,10.0,2021.0,3.0,18.0,74.28333333333333,2-10-2021 3
2.0,10.0,2021.0,4.0,18.0,74.98333333333333,2-10-2021 4
2.0,10.0,2021.0,5.0,18.0,76.66666666666667,2-10-2021 5
2.0,10.0,2021.0,6.0,18.0,75.88333333333334,2-10-2021 6
2.0,10.0,2021.0,7.0,18.516666666666666,72.61666666666666,2-10-2021 7
2.0,10.0,2021.0,8.0,19.916666666666668,66.28333333333333,2-10-2021 8
2.0,10.0,2021.0,9.0,21.0,59.05,2-10-2021 9
2.0,10.0,2021.0,10.0,21.084745762711865,59.016949152542374,2-10-2021 10
2.0,10.0,2021.0,11.0,23.75,47.416666666666664,2-10-2021 11
2.0,10.0,2021.0,12.0,24.183333333333334,44.95,2-10-2021 12
2.0,10.0,2021.0,13.0,24.866666666666667,43.88333333333333,2-10-2021 13
2.0,10.0,2021.0,14.0,25.533333333333335,41.516666666666666,2-10-2021 14
2.0,10.0,2021.0,15.0,24.15,45.43333333333333,2-10-2021 15
2.0,10.0,2021.0,16.0,23.6,48.11666666666667,2-10-2021 16
2.0,10.0,2021.0,17.0,23.0,49.61666666666667,2-10-2021 17
2.0,10.0,2021.0,18.0,22.466666666666665,62.666666666666664,2-10-2021 18
2.0,10.0,2021.0,19.0,22.0,64.8,2-10-2021 19
2.0,10.0,2021.0,20.0,21.433333333333334,65.15,2-10-2021 20
2.0,10.0,2021.0,21.0,21.0,67.85,2-10-2021 21
2.0,10.0,2021.0,22.0,21.0,70.06666666666666,2-10-2021 22
2.0,10.0,2021.0,23.0,21.0,72.45,2-10-2021 23
3.0,10.0,2021.0,0.0,21.0,73.23333333333333,3-10-2021 0
3.0,10.0,2021.0,1.0,20.25,74.75,3-10-2021 1
3.0,10.0,2021.0,2.0,20.0,75.73333333333333,3-10-2021 2
3.0,10.0,2021.0,3.0,20.0,76.15,3-10-2021 3
3.0,10.0,2021.0,4.0,20.0,73.96666666666667,3-10-2021 4
3.0,10.0,2021.0,5.0,20.0,74.16666666666667,3-10-2021 5
3.0,10.0,2021.0,6.0,20.016666666666666,73.78333333333333,3-10-2021 6
3.0,10.0,2021.0,7.0,21.033333333333335,67.66666666666667,3-10-2021 7
